system,workload,concurrency,e2e_ms_avg,e2e_ms_max,e2e_ms_min,e2e_ms_p50,e2e_ms_p90,e2e_ms_p95,e2e_ms_p99,itl_ms_avg,itl_ms_max,itl_ms_min,itl_ms_p50,itl_ms_p90,itl_ms_p95,itl_ms_p99,out_tok_per_s_avg,out_tok_per_s_per_user_avg,out_tok_per_s_per_user_max,out_tok_per_s_per_user_min,out_tok_per_s_per_user_p50,out_tok_per_s_per_user_p90,out_tok_per_s_per_user_p95,out_tok_per_s_per_user_p99,req_per_s_avg,ttft_ms_avg,ttft_ms_max,ttft_ms_min,ttft_ms_p50,ttft_ms_p90,ttft_ms_p95,ttft_ms_p99
h100nvl-co3,chat,1,1158.85016565,1166.106171,1154.347354,1157.7823315,1164.3232690999998,1164.7024310499999,1165.82542301,4.475736641435994,5.764532212435233,4.3632499490196075,4.404970343873518,4.519403847684045,4.605493905927884,5.532724551133762,214.8423306155525,224.22054927512903,229.18696193984786,173.47461392319096,227.01642383819063,229.1152255542504,229.14325078726836,229.17821970933196,0.8561160813530684,44.1226531,50.542469,37.267995,43.933389,47.1673141,49.71448605,50.37687241
h100nvl-co3,chat,128,1861.0371982,1909.926049,1382.206366,1901.466146,1909.8134814,1909.83902615,1909.9086444299999,6.2744903755286865,6.931712098425196,6.107666784313725,6.236868074880346,6.3339927856,6.365591227321261,6.818487924204408,2574.668807584607,159.47536345453804,163.72864390184031,144.2645028819342,160.33688517654554,162.45153962661556,163.15117997233318,163.61315111593888,10.406907063801969,315.09149185,352.560906,131.900198,317.6173465,352.14861169999995,352.3663612,352.52199704000003
h100nvl-co3,chat,16,1447.15563725,1503.305161,1231.642705,1502.2963614999999,1503.113013,1503.1679610499998,1503.2777210099998,4.847004697162671,5.464993843137255,4.512446243137255,4.8567336936758885,4.931934898363811,5.26212042442182,5.4244191593941675,1840.9012179413708,206.69550143393218,221.6092882038978,182.98282279965684,205.89969790603237,219.2008651441464,220.80706709680484,221.4488439824792,7.257643279879246,222.95954419999998,274.409677,56.072579,273.542737,274.2920208,274.3563668,274.39901496
h100nvl-co3,chat,4,1242.9136302999998,1278.71085,1231.778621,1233.5689435,1278.5105979,1278.6467563499998,1278.69803127,4.5413477124414925,4.661119984,4.493260564705882,4.520000986080421,4.615078192066517,4.643218165136255,4.657539620227251,812.3784564255448,220.22879109887361,222.55553302537163,214.54071198180938,221.23970471577252,222.53080249821235,222.5340610465147,222.55123862960025,3.193311542553242,92.21763025,132.663915,66.498625,86.74053699999999,132.5179837,132.6217046,132.65547292
h100nvl-co3,chat,64,1914.84425225,1922.197688,1904.5060159999998,1913.9099655,1921.687084,1921.71619665,1922.10138973,6.148767729381574,6.255811435999999,6.091220976470588,6.133965980392156,6.208414646484593,6.2282555937607835,6.250300267552157,2638.861360896219,162.6431125446347,164.17069810188138,159.85136544323424,163.0266624093827,164.13645940651713,164.15314649215696,164.1671877799365,10.340365834232834,351.87843205,368.484784,316.670668,349.83455499999997,368.1017247,368.26619089999997,368.44106538
h100nvl-co3,rag,1,1312.0957466500001,1338.556613,1301.180032,1311.4351725,1315.345439,1322.55521675,1335.35633375,4.557615980229524,4.650053705645162,4.490248184313725,4.562280830428572,4.592229316143426,4.620474329282257,4.644137830372581,191.91514679337487,219.4278780356944,222.70483923214067,215.05127968436167,219.18862917633749,221.37618301971656,221.5152419634134,222.4669197783952,0.7569124306581536,161.138945,181.46772099999998,146.810051,158.762397,170.1558733,180.62569419999997,181.29931563999997
h100nvl-co3,rag,16,3303.83510455,3700.877333,1760.115807,3686.7048815,3699.0827543,3700.7804843,3700.85796326,9.075174365424266,13.533787380392155,5.0181642,8.987382108288415,12.29663951858864,12.92017591187675,13.411065086689073,930.2745016686013,120.21346291817729,199.27606195110155,73.88914661455424,111.43709461244737,181.21979765481407,197.02715828431872,198.826281217745,3.661777215778789,1007.19330445,1862.493753,173.923777,959.0269075,1757.6905876,1862.23124615,1862.4412516300001
h100nvl-co3,rag,4,1761.65441175,1776.4116849999998,1751.9263159999998,1759.803289,1768.2866937,1776.1059959,1776.35054718,5.582502787672108,6.52743950409836,5.043625529411765,5.2978706563666425,6.332097352899878,6.3818209831109005,6.498315799900868,569.5559127775496,180.83180606910213,198.27007262306196,153.19942825546426,188.92644680246295,197.23676970531932,197.94015741097095,198.20408958064377,2.2561137364925714,358.82147549999996,498.265491,157.415449,422.894258,481.72662049999997,498.1305226,498.23849731999996
h100nvl-co3,rag,64,4699.953953249999,4721.44427,4655.181535,4704.905215,4718.7657151,4719.0835884,4720.97213368,13.288914630684097,19.008064014423073,9.489019803921568,13.029243116386555,17.171860341176473,17.586701595427037,18.723791530623867,1067.9086345440855,78.60652602401966,105.38496290067026,52.60925043398489,76.75311357227258,103.89814794835263,105.38371262602092,105.3847128457404,4.2276668034207665,1369.3951177,2311.20314,189.648808,1402.1076675,2299.0914258000003,2299.8564843999998,2308.93380888
h100nvl-co3,summarize,1,1206.19902765,1224.756981,1173.995974,1205.711765,1215.0425410999999,1223.9280832,1224.59120144,4.676154897283408,4.757236587628865,4.632482497487437,4.660485801317192,4.716555339285715,4.753212779381443,4.756431825979381,162.7914307310763,213.86518600407663,215.866978567621,210.20606849793583,214.5699205934647,215.65102636352708,215.66382907934283,215.82634866996537,0.822178943086244,285.07570055,302.674787,279.080241,282.4778055,292.1111006,296.9894189,301.53771337999996
h100nvl-co3,summarize,16,4939.4642225,6403.930077999999,2035.98751,5464.949839,6195.3015458,6205.88862345,6364.32178709,16.057601237209937,25.620465879396985,5.7518783631578945,14.878472988132971,23.912665647208122,24.910660025188125,25.478504708555214,528.3462480854478,74.5053171247958,173.85624953497458,39.03129649192532,67.27111176164297,132.3248595772224,154.30560573193148,169.94612077436594,2.663706821706316,1768.6145837999998,3614.001068,307.730286,1596.4005889999999,3421.7901174,3431.62019815,3577.5248940299994
h100nvl-co3,summarize,4,2006.8198928499999,2047.853903,1981.923153,1997.1251155,2039.9396055,2044.1362955499999,2047.1103815099998,7.106544871460374,8.76201756122449,5.551915656565656,7.115057007275803,8.667707109137057,8.732286237959702,8.756071296571532,393.36381996633907,144.57438204637228,180.11801004530875,114.12896550509197,141.1356534953735,179.17047380992602,180.01362212274287,180.09713246079556,1.983680383087943,604.19148015,947.9035719999999,262.19629399999997,613.0689414999999,898.9680663,919.2411068,942.1710789599999
h100nvl-co3,summarize,64,7036.40437055,7096.570226999999,6952.600442999999,7042.892397,7087.5826353,7091.616305699999,7095.57944274,23.059737282325184,33.5960071928934,13.019375152284264,22.89778235355538,31.32763879826544,32.62573142005076,33.40195203832487,556.1199946063253,47.13977313087615,76.80860166507675,29.765441894878837,43.70950116856223,67.52883602629716,73.73977830109494,76.19483699228039,2.813660483715281,2503.3986464,4531.753322,334.187026,2589.6075035,4194.8222458,4419.82527675,4509.367712949999
h100nvl-co3,think,1,1356.8468172999999,2715.49201,446.09262099999995,1008.588862,2181.57175,2286.8095592500003,2629.7555198499995,4.357757975729433,4.374484758064516,4.343786279569892,4.357125633865068,4.366405231334841,4.368417966579696,4.373271399767551,219.8093499567406,229.4766117135488,230.21390456139497,228.5983505043571,229.50911918132394,230.1548489422891,230.1983324226208,230.21079013364013,0.7292944590469164,46.878317700000004,94.50288499999999,41.365491,42.410305,53.4984652,58.07975295000002,87.21825858999993
h100nvl-co3,think,128,1706.1936409999998,4172.088764,725.3439979999999,1581.4003269999998,2579.797002600001,3560.96486665,4049.863984529999,5.5703865156841275,6.501798967213114,4.750928888751544,5.47185013172043,6.363747943,6.445383960860656,6.490515965942623,1258.5921993383997,181.11484270935324,210.48515425428334,153.80358652162894,182.7697318404687,200.2961837832736,207.16065410977757,209.82025422538217,4.766491949776177,327.20916514999993,364.912306,151.86072199999998,329.03301,363.9372103,364.0314793,364.73614066
h100nvl-co3,think,16,1972.7972005999998,3946.7297839999997,557.164541,2139.7426514999997,2992.8415221,3129.0496828000005,3783.1937637599985,5.012482414197333,5.321204335329342,4.783546730666666,5.008129000555029,5.147991511891892,5.163249149739439,5.289613298211361,1707.3093088022285,199.6147525148274,209.0499071722528,187.92738203279458,199.6758385814939,204.45077411105578,205.79396197171175,208.39871813214458,5.0392836741506155,287.59681839999996,359.22467,45.016844,357.9304335,358.83770789999994,359.07748269999996,359.19523254
h100nvl-co3,think,4,1156.9668469,3436.832077,384.305675,952.5402975,1799.9402633000018,2982.6173721000005,3345.9891360199995,4.635655871960564,4.892392858823529,4.462732551905388,4.65726166615874,4.768043560324324,4.7931814940222575,4.872550585863275,643.2374027438146,215.85384581156882,224.07795859804426,204.39895749509972,214.71869973718398,222.83745995264363,223.526150465063,223.96759697144802,2.7043826056077975,62.803239399999995,134.752457,40.417125999999996,44.532334999999996,134.0648927,134.4583256,134.69363072
